@RELATION NFLPlayoffs

@ATTRIBUTE t1-team-type {home, away}
@ATTRIBUTE t1-win-loss-ratio continuous
@ATTRIBUTE t1-points-per-game continuous
@ATTRIBUTE t1-points-allowed-per-game continuous
@ATTRIBUTE t1-turnover-ratio continuous
@ATTRIBUTE t1-offensive-rank continuous
@ATTRIBUTE t1-defensive-rank continuous
@ATTRIBUTE t1-kicking-and-punting-rank continuous
@ATTRIBUTE t1-kicking-and-punting-return-rank continuous
@ATTRIBUTE t1-relative-strength-of-schedule continuous
@ATTRIBUTE t2-team-type {home, away}
@ATTRIBUTE t2-win-loss-ratio continuous
@ATTRIBUTE t2-points-per-game continuous
@ATTRIBUTE t2-points-allowed-per-game continuous
@ATTRIBUTE t2-turnover-ratio continuous
@ATTRIBUTE t2-offensive-rank continuous
@ATTRIBUTE t2-defensive-rank continuous
@ATTRIBUTE t2-kicking-and-punting-rank continuous
@ATTRIBUTE t2-kicking-and-punting-return-rank continuous
@ATTRIBUTE t2-relative-strength-of-schedule continuous
@ATTRIBUTE game-result {t1,t2}

@Data
away,0.5,19.9,24.5,-24.0,19.0,25.0,31.0,8.0,-1.4,home,0.5625,23.2,23.3,8.0,12.0,22.0,15.0,17.0,-2.8,t1
home,0.5625,23.2,23.3,8.0,12.0,22.0,15.0,17.0,-2.8,away,0.5,19.9,24.5,-24.0,19.0,25.0,31.0,8.0,-1.4,t2
home,0.75,32.6,21.9,19.0,1.0,19.0,13.0,30.0,0.7,away,0.625,23.8,19.0,-9.0,9.0,9.0,12.0,27.0,1.0,t1
away,0.625,23.8,19.0,-9.0,9.0,9.0,12.0,27.0,1.0,home,0.75,32.6,21.9,19.0,1.0,19.0,13.0,30.0,0.7,t2
away,0.5,25.3,24.7,1.0,6.0,26.0,32.0,16.0,-2.3,home,0.625,26.5,23.8,-14.0,5.0,23.0,18.0,19.0,-2.4,t1
home,0.625,26.5,23.8,-14.0,5.0,23.0,18.0,19.0,-2.4,away,0.5,25.3,24.7,1.0,6.0,26.0,32.0,16.0,-2.3,t2
home,0.6875,21.3,21.1,2.0,16.0,14.0,23.0,23.0,-2.4,away,0.5,19.9,24.5,-24.0,19.0,25.0,31.0,8.0,-1.4,t1
away,0.5,19.9,24.5,-24.0,19.0,25.0,31.0,8.0,-1.4,home,0.6875,21.3,21.1,2.0,16.0,14.0,23.0,23.0,-2.4,t2
home,0.9375,23.3,15.7,11.0,11.0,1.0,22.0,15.0,1.4,away,0.625,20.8,16.3,17.0,17.0,4.0,17.0,32.0,2.1,t1
away,0.625,20.8,16.3,17.0,17.0,4.0,17.0,32.0,2.1,home,0.9375,23.3,15.7,11.0,11.0,1.0,22.0,15.0,1.4,t2
home,0.875,27.3,16.3,9.0,4.0,3.0,26.0,26.0,1.8,away,0.75,32.6,21.9,19.0,1.0,19.0,13.0,30.0,0.7,t1
away,0.75,32.6,21.9,19.0,1.0,19.0,13.0,30.0,0.7,home,0.875,27.3,16.3,9.0,4.0,3.0,26.0,26.0,1.8,t2
home,0.8125,24.1,16.3,6.0,8.0,2.0,11.0,24.0,-2.3,away,0.5,25.3,24.7,1.0,6.0,26.0,32.0,16.0,-2.3,t1
